2018/04/11-18:29 [restartedMain] ERROR org.springframework.boot.logging.LoggingApplicationListener- Cannot set level: DEBUG   for 'com.mycompany.mavenspringboot.mapper'
 2018/04/16-23:48 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Mapping servlet: 'webServlet' to [/h2-console/*]
 2018/04/16-23:48 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
 2018/04/16-23:48 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
 2018/04/16-23:48 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
 2018/04/16-23:48 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
 2018/04/16-23:48 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-9} inited
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@332f8190: startup date [Mon Apr 16 23:48:10 CST 2018]; root of context hierarchy
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/user]}" onto public java.lang.String edu.cumt.lpf.controller.TestController.helloworld(org.springframework.web.servlet.ModelAndView)
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer- LiveReload server is running on port 35729
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Registering beans for JMX exposure on startup
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'dataSource' has been autodetected for JMX exposure
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
 2018/04/16-23:48 [restartedMain] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer- Tomcat started on port(s): 8080 (http)
 2018/04/16-23:48 [restartedMain] INFO  edu.cumt.lpf.BootStart- Started BootStart in 4.157 seconds (JVM running for 907.984)
 2018/04/16-23:48 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring FrameworkServlet 'dispatcherServlet'
 2018/04/16-23:48 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization started
 2018/04/16-23:48 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization completed in 2 ms
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-7] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-7] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-7] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-9] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-9] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-9] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-4] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:48 [http-nio-8080-exec-2] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:49 [Thread-52] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext- Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@332f8190: startup date [Mon Apr 16 23:48:10 CST 2018]; root of context hierarchy
 2018/04/16-23:49 [Thread-52] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans on shutdown
 2018/04/16-23:49 [Thread-52] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans
 2018/04/16-23:49 [Thread-52] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-9} closed
 2018/04/16-23:49 [restartedMain] INFO  edu.cumt.lpf.BootStart- Starting BootStart on Sc-201509191447 with PID 8892 (started by Administrator in D:\毕业设计\LMS)
 2018/04/16-23:49 [restartedMain] INFO  edu.cumt.lpf.BootStart- The following profiles are active: dev
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext- Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4b17307: startup date [Mon Apr 16 23:49:25 CST 2018]; root of context hierarchy
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer- Tomcat initialized with port(s): 8080 (http)
 2018/04/16-23:49 [restartedMain] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
 2018/04/16-23:49 [restartedMain] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/8.5.16
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 1323 ms
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Mapping servlet: 'dispatcherServlet' to [/]
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Mapping servlet: 'webServlet' to [/h2-console/*]
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
 2018/04/16-23:49 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
 2018/04/16-23:49 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-10} inited
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4b17307: startup date [Mon Apr 16 23:49:25 CST 2018]; root of context hierarchy
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/user]}" onto public java.lang.String edu.cumt.lpf.controller.TestController.helloworld(org.springframework.web.servlet.ModelAndView)
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer- LiveReload server is running on port 35729
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Registering beans for JMX exposure on startup
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'dataSource' has been autodetected for JMX exposure
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
 2018/04/16-23:49 [restartedMain] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer- Tomcat started on port(s): 8080 (http)
 2018/04/16-23:49 [restartedMain] INFO  edu.cumt.lpf.BootStart- Started BootStart in 5.939 seconds (JVM running for 984.989)
 2018/04/16-23:49 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring FrameworkServlet 'dispatcherServlet'
 2018/04/16-23:49 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization started
 2018/04/16-23:49 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet- FrameworkServlet 'dispatcherServlet': initialization completed in 2 ms
 2018/04/16-23:49 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
 2018/04/16-23:49 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==> Parameters: 10(Integer)
 2018/04/16-23:49 [http-nio-8080-exec-1] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- <==      Total: 1
 2018/04/16-23:49 [http-nio-8080-exec-3] DEBUG edu.cumt.lpf.mapper.StudentsMapper.selectByPrimaryKey- ==>  Preparing: select id, email, grade, major, name, password, repassword, school, sex, state, students_id, tel, time, counts, pay, count, university, openid from students where id = ? 
